		log10				x				exact value		f1(x)				absolute error		relative error		szereg				roznica_szereg		blad wzgledny
 -2.921000000000000085265e+001  6.165950018614821945179e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.919999999999999928946e+001  6.309573444801932306351e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.919000000000000127898e+001  6.456542290346554767916e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.917999999999999971578e+001  6.606934480075959597548e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.917000000000000170530e+001  6.760829753919817465760e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.916000000000000014211e+001  6.918309709189365359700e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.914999999999999857891e+001  7.079457843841379133654e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.914000000000000056843e+001  7.244359600749900359910e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.912999999999999900524e+001  7.413102413009174515617e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.912000000000000099476e+001  7.585775750291838379508e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.910999999999999943157e+001  7.762471166286917196661e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.910000000000000142109e+001  7.943282347242814346011e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.908999999999999985789e+001  8.128305161640991923133e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.907999999999999829470e+001  8.317637711026710471526e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.907000000000000028422e+001  8.511380382023765022746e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.905999999999999872102e+001  8.709635899560806209582e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.905000000000000071054e+001  8.912509381337455991640e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.903999999999999914735e+001  9.120108393559097353401e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.903000000000000113687e+001  9.332543007969910977528e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.901999999999999957367e+001  9.549925860214359677947e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.901000000000000156319e+001  9.772372209558107505619e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.900000000000000000000e+001  9.999999999999999432066e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.898999999999999843681e+001  1.023292992280754167008e-029  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.898000000000000042633e+001  1.047128548050899531436e-029  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.896999999999999886313e+001  1.071519305237606478976e-029  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.896000000000000085265e+001  1.096478196143185063261e-029  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.894999999999999928946e+001  1.122018454301963436250e-029  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.894000000000000127898e+001  1.148153621496882691005e-029  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.892999999999999971578e+001  1.174897554939529488382e-029  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.892000000000000170530e+001  1.202264434617412954791e-029  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.891000000000000014211e+001  1.230268770812381600886e-029  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.889999999999999857891e+001  1.258925411794167235569e-029  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.889000000000000056843e+001  1.288249551693134074245e-029  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.887999999999999900524e+001  1.318256738556407229170e-029  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.887000000000000099476e+001  1.348962882591653701447e-029  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.885999999999999943157e+001  1.380384264602884702893e-029  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.885000000000000142109e+001  1.412537544622754354405e-029  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.883999999999999985789e+001  1.445439770745927618125e-029  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.882999999999999829470e+001  1.479108388168207329087e-029  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.882000000000000028422e+001  1.513561248436208282956e-029  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.880999999999999872102e+001  1.548816618912481242906e-029  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.880000000000000071054e+001  1.584893192461113603510e-029  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.878999999999999914735e+001  1.621810097358929858805e-029  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.878000000000000113687e+001  1.659586907437560756777e-029  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.876999999999999957367e+001  1.698243652461744469999e-029  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
